COUNTRY,REGION,REGION-DESC,REGION-CODE
ecu,z,zamora-chinchipe,24940
egy,?,egypt,185
egy,no region,egypt,11731
eri,?,eritrea,21105
eri,as,asmara,23816
esh,?,western sahara,24612
esh,no region,western sahara,24613
esp,?,spain,205
esp,a,alicante,11416
esp,ab,albacete,24001
esp,al,almeria,11452
esp,av,avila,24002
esp,b,barcelona,11419
esp,ba,badajoz,24016
esp,bi,vizcaya,11421
esp,bu,burgos,24000
esp,c,la coruna,19859
esp,ca,cadiz,11415
esp,cc,caceres,24015
esp,ce,ceuta,23757
esp,co,cordoba,23994
esp,cr,ciudad real,24013
esp,cs,castellon,24014
esp,cu,cuenca,24012
esp,gc,las palmas,24010
esp,ge,gerona,23993
esp,gr,granada,23997
esp,gu,guadalajara,24011
esp,h,huelva,23999
esp,hu,huesca,23883
esp,j,jaen,23995
esp,l,lerida,24008
esp,le,leon,24009
esp,lo,la rioja,11443
esp,lu,lugo,24007
esp,m,madrid,11413
esp,ma,malaga,23996
esp,ml,melilla,19871
esp,mu,murcia,11425
esp,na,navarra,11451
esp,o,asturias,11432
esp,or,orense,24006
esp,p,palencia,24005
esp,pm,islas baleares,12418
esp,po,pontevedra,11467
esp,s,cantabria,11460
esp,sa,salamanca,11456
esp,se,sevilla,23998
esp,sg,segovia,14838
esp,so,soria,24004
esp,ss,guipuzcoa,11458
esp,t,tarragona,11463
esp,te,teruel,23904
esp,tf,santa cruz de tenerife,11457
esp,to,toledo,11464
esp,v,valencia,11426
esp,va,valladolid,11466
esp,vi,alava,11468
esp,z,zaragoza,11469
esp,za,zamora,24003
est,?,estonia,218
est,no region,estonia,6878
eth,?,ethiopia,601
eth,no region,ethiopia,11741
eur,?,europe (unknown country),4241
eur,aol,aol,9245
fin,?,finland,235
fin,es,etela-suomen laani,11309
fin,is,ita-suomen lasni,11313
fin,ll,lapin laani,11320
fin,ls,lansi-suomen laani,11319
fin,ol,oulun lasni,11318
fji,?,fiji,544
fji,no region,fiji,11742
flk,?,falkland islands (malvinas),2761
fra,?,france,72
fra,a,alsace,9846
fra,aol,aol,20331
fra,b,aquitaine,9848
fra,c,auvergne,9855
fra,d,bourgogne,9857
fra,e,bretagne,9862
fra,f,centre,9866
fra,g,champagne-ardenne,9870
fra,h,corse,9874
fra,i,franche-comte,9876
fra,j,ile-de-france,9878
fra,k,languedoc-roussillon,9945
fra,l,limousin,12436
fra,m,lorraine,9948
fra,n,midi-pyrenees,9951
fra,o,nord-pas-de-calais,9955
