ASN,ORGANIZATION
513,cern - european organization for nuclear research
514,dod network information center
515,navy network information center
516,eastman kodak boston technology center
517,kpn eurorings b.v.
518,navy network information center
519,systemhouseinteractive systems
520,coins community online intelligence system
521,ford motor company
522,754th electronic systems group
523,headquarters usaisc
524,level 3 communications inc.
525,headquarters usaisc
526,headquarters usaisc
527,dod network information center
528,cdoim augsburg
529,cdoim burtonwood information center
530,headquarters usaisc
531,headquarters usaisc
532,dod network information center
533,headquarters usaisc
534,headquarters usaisc
535,headquarters usaisc
536,headquarters usaisc
537,headquarters usaisc
538,headquarters usaisc
539,headquarters usaisc
540,cdoim bamberg information center
541,intelligenetics inc.
542,alberta research council
543,hewlett-packard company
544,sonera corporation
545,corporation for national research initiatives
546,sparta inc.
547,ibm
548,754th electronic systems group
549,gtanet networking
550,los alamos national laboratory
551,sparta inc.
552,dod network information center
553,landeshochschulnetz baden-wuerttemberg
554,california internet federation
555,velocity technology solutions ii inc.
556,uscinformation sciences institute
557,university of maine system
558,net2ez
559,switch swiss education and research network
560,level 3 communications inc.
561,3com corporation
562,3com corporation
563,3com corporation
564,dod network information center
565,technical research centre of finland
566,canadian space agency
567,los nettos
568,dod network information center
569,dod network information center
570,754th electronic systems group
571,dod network information center
572,reserved
573,dod network information center
574,pittsburgh supercomputing center
575,headquarters usaisc
576,dod network information center
577,bell canada
578,reserved
579,reserved
580,mainz-gw1-as
581,754th electronic systems group
582,754th electronic systems group
583,754th electronic systems group
584,754th electronic systems group
585,754th electronic systems group
586,754th electronic systems group
587,754th electronic systems group
588,headquarters usaisc
589,university of north texas
590,easinet operations center
591,nstn inc.
592,navy network information center
593,easinet air base
594,level 3 communications inc.
595,level 3 communications inc.
596,level 3 communications inc.
597,level 3 communications inc.
598,level 3 communications inc.
599,sri international
600,oarnet
601,bell canada
602,bell canada
603,bell canada
604,reserved
605,reserved
606,reserved
607,reserved
608,reserved
609,reserved
610,navteq corporation
611,university of toronto
612,precision technology inc
613,bp america inc.
614,california state university chancellor s office
615,headquarters usaisc
616,dod network information center
617,dod network information center
618,dod network information center
619,dod network information center
620,dod network information center
621,dod network information center
622,dod network information center
623,dod network information center
624,dod network information center
625,dod network information center
626,dod network information center
627,dod network information center
628,dod network information center
629,dod network information center
630,dod network information center
631,dod network information center
632,dod network information center
633,dod network information center
634,dod network information center
635,dod network information center
636,dod network information center
637,dod network information center
638,dod network information center
639,dod network information center
640,dod network information center
641,dod network information center
642,dod network information center
643,dod network information center
644,dod network information center
645,dod network information center
646,dod network information center
647,dod network information center
648,dod network information center
649,dod network information center
650,dod network information center
651,dod network information center
652,dod network information center
653,dod network information center
654,dod network information center
655,dod network information center
656,dod network information center
657,dod network information center
658,dod network information center
659,dod network information center
660,dod network information center
661,dod network information center
662,dod network information center
663,dod network information center
664,dod network information center
665,dod network information center
666,headquarters usaisc
667,dod network information center
668,dod network information center
669,inria
670,headquarters usaisc
671,headquarters usaisc
672,headquarters usaisc
673,headquarters usaisc
674,advanced information technology services llc
675,minnesota state colleges and universities
676,united nations development programme
677,arizona state university
678,dod network information center
679,vienna university of technology
680,verein zur foerderung eines deutschen forschungsnetzes e.v.
681,the university of waikato
682,oak ridge national laboratory
683,argonne national lab
684,mts allstream inc.
685,ntt america inc.
686,7th communications groupgne
687,navy network information center
688,department of interior
689,merit network inc.
690,merit network inc.
691,university of p.e.i
692,sematech inc.
693,university of notre dame
694,headquarters usaisc
695,switch the swiss education and research network
696,switch the swiss education and research network
697,gesellschaft fuer mathematik und datenverarbeitung
698,university of illinois at urbana-champaign
699,reserved
700,rockwell international systems
701,mci communications services inc. dba verizon business
702,mci communications services inc. dba verizon business
703,mci communications services inc. dba verizon business
704,mci communications services inc. dba verizon business
705,mci communications services inc. dba verizon business
706,advanced workstations division ibm corporation
707,754th electronic systems group
708,sentinel byte community
709,royal air force base
710,royal air base
711,torrejon air base
712,royal air base
713,754th electronic systems group
714,apple inc.
715,woodynet
716,headquarters usaisc
717,navy network information center
718,navy network information center
719,elisa oyj
720,754th electronic systems group
721,dod network information center
722,dod network information center
723,dod network information center
724,dod network information center
725,dod network information center
726,dod network information center
727,754th electronic systems group
728,754th electronic systems group
729,754th electronic systems group
730,754th electronic systems group
731,754th electronic systems group
732,754th electronic systems group
733,754th electronic systems group
734,754th electronic systems group
735,754th electronic systems group
736,754th electronic systems group
737,754th electronic systems group
738,754th electronic systems group
739,754th electronic systems group
740,754th electronic systems group
741,754th electronic systems group
742,754th electronic systems group
743,754th electronic systems group
744,754th electronic systems group
745,754th electronic systems group
746,754th electronic systems group
747,headquarters usaisc
748,dod network information center
749,dod network information center
750,merit network inc.
751,merit network inc.
752,merit network inc.
753,merit network inc.
754,merit network inc.
755,merit network inc.
756,merit network inc.
757,merit network inc.
758,merit network inc.
759,merit network inc.
760,university of vienna austria
761,seinajoen tietoraitti oy
762,wellfleet communications inc.
763,ibm
764,prime minister s office
765,dod network information center
766,entidad publica empresarial red.es
767,dod network information center
768,navy network information center
769,dod network information center
770,dod network information center
771,national aeronautics and space administration
772,headquarters usaisc
773,sparta incorporated
774,institut national de recherche en informatique
775,institut national de recherche en informatique
776,inria sophia-antipolis
777,cea-saclay
778,inria rhone-alpes
779,reseau regional vikman
780,imag
781,reseaux regionaux stannet et ampernet
782,as for the laboratoire en recherche informatique et ses applications
783,institut national de recherche en informatique
784,henry m. jackson foundation for the advancement of military medicine
785,headquarters usaisc
786,the jnt association
787,dod network information center
788,navy network information center
789,in2p3 autonomous system
790,elisa oyj
791,advanced information technology services llc
792,oracle corporation
793,oracle corporation
794,oracle corporation
795,att services inc.
796,att services inc.
797,att services inc.
798,headquarters usaisc
799,headquarters usaisc
800,rogers cable communications inc.
801,forestry canada - maritimes region
802,york university
803,saskatchewan telecommunications
804,institute for space and terrestrial science
805,gonet
806,environment canada
807,gonet
808,gonet
809,gonet
810,government telecommunications agency
811,government telecommunications agency
812,rogers cable communications inc.
813,mci communications services inc. dba verizon business
814,mci communications services inc. dba verizon business
815,mci communications services inc. dba verizon business
816,mci communications services inc. dba verizon business
817,mci communications services inc. dba verizon business
818,department of communications
819,largnet
820,industry canada
821,designed information systems corporation
822,st. joseph s health centre
823,the university of western ontario
824,glaxosmithkline
825,canadian forces weather services
826,crtc
827,alcan international ltd.
828,library and archives canada
829,bell sygma systems management
830,bell sygma systems management
831,bell sygma systems management inc.
832,beel sygma systems management inc.
833,gonet
834,banco popular north america
835,gonet
836,gonet
837,royal canadian mounted police
838,canadian research network
839,canadian research network
840,canadian research network
841,canadian research network
842,canadian research network
843,reptillian research
844,gonet
845,gonet
846,gonet
847,gonet
848,gonet
849,gonet
850,gonet
851,reseau d informations scientifiques du quebec inc.
852,telus advanced communications
853,gonet
854,gonet
855,bell aliant regional communications inc.
856,university of new brunswick
857,gonet
858,gonet
859,gonet
860,gonet
861,gonet
862,gonet
863,gonet
864,gonet
865,gonet
866,gonet
867,gonet
868,gonet
869,gonet
870,gonet
871,gonet
872,gonet
873,gonet
874,gonet
875,gonet
876,gonet
877,gonet
878,gonet
879,gonet
880,gonet
881,gonet
882,gonet
883,gonet
884,gonet
885,gonet
886,gonet
887,gonet
888,gonet
889,gonet
890,gonet
891,gonet
892,gonet
893,gonet
894,gonet
895,gonet
896,gonet
897,gonet
898,gonet
899,gonet
900,gonet
901,gonet
902,gonet
903,gonet
904,gonet
905,gonet
906,gonet
907,gonet
908,gonet
909,gonet
910,gonet
911,gonet
912,gonet
913,gonet
914,gonet
915,gonet
916,gonet
917,gonet
918,gonet
919,gonet
920,gonet
921,gonet
922,gonet
923,gonet
924,gonet
925,gonet
926,gonet
927,gonet
928,gonet
929,gonet
930,gonet
931,gonet
932,gonet
933,gonet
934,gonet
935,gonet
936,gonet
937,gonet
938,gonet
939,gonet
940,gonet
941,gonet
942,gonet
943,gonet
944,gonet
945,gonet
946,gonet
947,gonet
948,gonet
949,gonet
950,gonet
951,gonet
952,gonet
953,gonet
954,gonet
955,gonet
956,gonet
957,gonet
958,gonet
959,gonet
960,gonet
961,gonet
962,gonet
963,gonet
964,gonet
965,gonet
966,gonet
967,gonet
968,gonet
969,gonet
970,gonet
971,gonet
972,gonet
973,gonet
974,gonet
975,gonet
976,gonet
977,gonet
978,gonet
979,gonet
980,gonet
981,gonet
982,gonet
983,gonet
984,gonet
985,gonet
986,gonet
987,gonet
988,gonet
989,gonet
990,gonet
991,gonet
992,gonet
993,gonet
994,gonet
995,gonet
996,gonet
997,gonet
998,gonet
999,gonet
1000,gonet
1001,gonet
1002,gonet
1003,gonet
1004,gonet
1005,gonet
1006,gonet
1007,gonet
1008,gonet
1009,gonet
1010,gonet
1011,gonet
1012,gonet
1013,gonet
1014,gonet
1015,gonet
1016,gonet
1017,gonet
1018,gonet
1019,gonet
1020,gonet
1021,gonet
1022,gonet
1023,gonet
1024,gonet
1025,gonet
1026,gonet
1027,gonet
1028,gonet
1029,gonet
1030,gonet
1031,gonet
1032,gonet
1033,gonet
1034,gonet
1035,gonet
1036,gonet
1037,gonet
1038,gonet
1039,gonet
1040,gonet
1041,gonet
1042,gonet
1043,gonet
1044,gonet
1045,gonet
1046,gonet
1047,gonet
1048,gonet
1049,gonet
1050,gonet
1051,gonet
1052,gonet
1053,gonet
1054,gonet
1055,gonet
1056,gonet
1057,gonet
1058,gonet
1059,gonet
1060,gonet
1061,gonet
1062,gonet
1063,gonet
1064,gonet
1065,gonet
1066,gonet
1067,gonet
1068,gonet
1069,gonet
1070,gonet
1071,gonet
1072,gonet
1073,gonet
1074,gonet
1075,gonet
1076,gonet
1077,gonet
1078,gonet
1079,gonet
1080,gonet
1081,gonet
1082,gonet
1083,gonet
1084,gonet
1085,gonet
1086,gonet
1087,gonet
1088,gonet
1089,gonet
1090,gonet
1091,gonet
1092,gonet
1093,gonet
1094,gonet
1095,gonet
1096,gonet
1097,gonet
1098,gonet
1099,gonet
1100,gonet
1101,ip-eend bv
1102,surfnet bv
1103,surfnet the netherlands
1104,fom-nikhef
1105,surfnet bv
1106,surfnet bv
1107,surfnet bv
1108,surfnet bv
1109,university of salzburg
1110,university of innsbruck
1111,university of klagenfurt
1112,montanuniversitaet leoben
1113,technische universitaet graz at
1114,universitaet graz
1115,austrian academy of sciences
1116,universitaet f. musik und darstellende kunst wien
1117,universitaet fuer bodenkultur wien
1118,asn-graz
1119,asn-wien
1120,aconet services vienna internet exchange
1121,vix route server
1122,uk-as
1123,technikum vorarlberg
1124,universiteit van amsterdam
1125,surfnet test network
1126,stichting academisch rekencentrum amsterdam
1127,surfnet multicast test asn
1128,dto tudelft the netherlands - as
1129,surfnet bv
1130,surfnet vpn test asn
1131,surfnet bv
1132,meteo consult bv
1133,university twente
1134,kpn mobile network operator
1135,veronica interactive plaza
1136,kpn internet solutions
1137,un internet project
1138,used to be surfnet - mci connection
1139,amolf
1140,stichting internet domeinregistratie nederland
1141,eindhoven university of technology
1142,springer science and business media b.v.
1143,currently not in use
1144,surfnet bv
1145,kennisnet
1146,surfnet bv
1147,medisch centrum leeuwarden
1148,surfnet
1149,surfnet bv
1150,surfnet bv
1151,surfnet bv
1152,surfnet bv
1153,surfnet bv
1154,surfnet bv
1155,surfnet5 test-as
1156,surfnet bv
1157,surfnet bv
1158,surfnet bv
1159,surfnet bv
1160,surfnet bv
1161,technische universiteit eindhoven
1162,surfnet bv
1163,surfnet bv
1164,surfnet bv
1165,surfnet bv
1166,surfnet bv
1167,surfnet bv
1168,surfnet bv
